student_id,subject_id,r_score,trend
10842,2,0.4008203043568898,0
10842,57,0.0988095238095238,2
10842,1,0.5530081300813008,2
10842,6,0.4269783197831977,2
10842,5,0.7547967479674796,1
10842,3,0.5173577235772358,2
10843,5,0.2271138211382113,2
10843,57,0.21130952380952375,2
10843,3,0.41939024390243895,0
10843,6,0.11315509693558473,2
10843,1,0.5620731707317073,2
10843,2,0.5555753595997498,1
10844,1,0.1144308943089431,2
10844,6,0.3898238482384824,2
10844,2,0.5099687304565355,1
10844,57,0.1863095238095238,0
10844,3,0.5842682926829268,1
10844,5,0.4439430894308943,1
10845,57,0.1113095238095238,2
10845,5,0.16495934959349595,2
10845,2,0.11256827183656454,2
10845,1,0.15353658536585368,2
10845,6,0.012968521992912208,2
10845,3,0.3936178861788618,1
10846,8,0.3112010796221323,2
10846,57,0.09424809424809427,2
10846,7,1.0336032388663967,1
10846,1,0.40098965362123257,1
10846,2,0.4573549257759784,0
10846,3,0.1795321637426901,1
10846,17,0.32112010796221324,0
10847,3,0.11223577235772353,2
10847,6,0.04130185532624553,2
10847,2,0.5471701063164478,1
10847,57,0.1113095238095238,2
10847,5,0.2263414634146341,0
10847,1,0.11565040650406505,1
10849,1,0.2945569050832209,2
10849,3,0.054385964912280704,2
10849,7,0.024336482231219148,2
10849,17,0.12908232118758434,2
10849,57,-0.3135828135828136,2
10849,2,0.8558704453441297,1
10849,8,-0.06788124156545207,2
10850,57,0.09880952380952383,2
10850,2,0.4065739003543881,1
10850,5,0.6196341463414634,0
10850,6,0.6866593704398583,1
10850,1,0.4797967479674797,1
10850,3,0.6153658536585365,2
10851,3,1.0602845528455285,1
10851,1,0.7270731707317073,1
10851,6,0.9566020429435064,1
10851,57,0.07380952380952366,2
10851,5,0.7638617886178861,2
10851,2,0.598652282676673,2
10852,57,0.023809523809523808,0
10852,2,0.8195121951219513,0
10852,5,0.8455284552845528,2
10852,1,1.0,0
10852,3,0.14634146341463414,2
10852,6,0.8292682926829268,0
10853,17,0.9000674763832659,1
10853,57,0.15419265419265415,2
10853,7,1.0233468286099867,1
10853,2,0.7360998650472335,2
10853,1,0.7065227170490327,1
10853,8,0.3624156545209177,2
10853,3,0.2996401259559153,2
10854,3,0.2007317073170732,2
10854,5,0.9370325203252032,0
10854,2,1.0912799666458204,1
10854,57,0.08630952380952372,2
10854,6,0.8297112778820095,0
10854,1,0.616341463414634,2
10855,3,0.7701626016260164,1
10855,1,0.8479268292682928,1
10855,6,0.17695538878465705,2
10855,57,-0.13869047619047625,2
10855,2,1.0309902022097144,1
10855,5,0.5391869918699188,1
10856,2,0.4938815926620805,2
10856,1,0.5484552845528455,1
10856,57,-0.0886904761904761,2
10856,5,0.34813008130081297,2
10856,3,0.4464634146341463,0
10856,6,0.9472941421721909,1
10857,3,0.11272357723577225,2
10857,2,0.622795497185741,2
10857,5,0.0240650406504066,2
10857,1,0.3403252032520325,1
10857,57,-0.15119047619047632,2
10857,6,0.10888471961642693,2
10858,57,0.11130952380952376,2
10858,6,0.3244402751719826,1
10858,1,0.1137398373983739,2
10858,3,0.09365853658536584,1
10858,5,0.5541869918699187,1
10858,2,0.23041171565561805,2
10859,6,0.5817385866166355,0
10859,2,1.0810537836147591,1
10859,5,0.8444715447154473,1
10859,1,0.38313008130081305,1
10859,57,0.28630952380952385,1
10859,3,0.3286585365853658,1
10860,57,0.08630952380952372,2
10860,3,0.3773983739837398,2
10860,1,0.8616666666666667,1
10860,6,0.6258474046278923,1
10860,5,0.6585365853658537,0
10860,2,0.6723327079424641,1
10861,3,0.6585365853658537,0
10861,5,1.0,0
10861,2,1.0,0
10861,1,0.9268292682926828,0
10861,57,0.023809523809523808,0
10861,6,1.0,0
10862,1,0.4749437696806118,2
10862,17,0.5480431848852901,1
10862,2,-0.07280701754385965,2
10862,7,0.44228520017993705,1
10862,57,-0.25952875952875976,2
10862,8,0.7032388663967614,1
10862,3,0.698740440845704,1
10863,57,-0.3134673134673136,2
10863,8,0.3630229419703104,2
10863,2,0.6462887989203778,2
10863,17,0.8639676113360324,0
10863,7,0.8377417903733693,0
10863,3,0.8966711650922178,0
10863,1,0.5137201979307242,2
10864,3,0.4401626016260163,2
10864,57,-0.2136904761904765,2
10864,2,0.39943193662705856,2
10864,6,0.1659214092140921,2
10864,1,0.3529674796747968,1
10864,5,0.7332113821138211,1
10865,7,0.4973909131803869,1
10865,8,0.015991902834008098,2
10865,57,0.18191268191268184,2
10865,2,0.5929824561403508,1
10865,1,0.9915429599640126,1
10865,17,0.8529689608636978,1
10865,3,0.9095366621682413,0
10866,6,0.5445512820512821,0
10866,2,0.5996794871794873,1
10866,5,0.852439024390244,1
10866,57,0.02380952380952378,2
