id,term,date_time,type_id,class_id,student_id,class_name
122239,2013-2014-2,2014/4/15 10:09:51,300200,672,10842,高三(09)
113472,2013-2014-1,2014/2/17 07:52:03,100100,672,10842,高三(09)
114585,2013-2014-1,2014/2/27 10:13:41,300200,672,10842,高三(09)
112541,2013-2014-1,2014/1/3 10:10:50,300200,672,10842,高三(09)
122238,2013-2014-2,2014/4/15 10:09:53,300200,672,10844,高三(09)
112540,2013-2014-1,2014/1/3 10:10:51,300200,672,10844,高三(09)
114586,2013-2014-1,2014/2/27 10:13:42,300200,672,10844,高三(09)
119190,2013-2014-2,2014/3/27 10:11:35,300200,672,10844,高三(09)
120471,2013-2014-2,2014/4/8 10:09:59,300200,672,10844,高三(09)
112944,2013-2014-1,2014/1/13 07:31:20,100100,672,10845,高三(09)
112878,2013-2014-1,2014/1/8 07:28:02,100100,672,10845,高三(09)
113482,2013-2014-1,2014/2/18 07:29:36,100100,672,10845,高三(09)
123570,2013-2014-2,2014/5/9 07:23:41,200100,673,10846,高三(12)
116253,,2014/3/12 07:28:23,100100,673,10846,高三(12)
117657,2013-2014-2,2014/3/20 07:26:30,100100,672,10847,高三(09)
113067,2013-2014-1,2014/1/14 10:09:26,300200,673,10849,高三(12)
112143,2013-2014-1,2014/1/2 10:10:18,300200,673,10849,高三(12)
112968,2013-2014-1,2014/1/8 10:22:29,100200,672,10850,高三(09)
124072,2013-2014-2,2014/5/15 15:59:59,100200,672,10850,高三(09)
118250,2013-2014-2,2014/3/24 07:37:00,100100,672,10850,高三(09)
114099,2013-2014-2,2014/2/25 07:37:00,100100,672,10850,高三(09)
116737,2013-2014-2,2014/3/14 10:11:17,300200,672,10854,高三(09)
122226,2013-2014-2,2014/4/15 10:09:50,300200,672,10854,高三(09)
117907,2013-2014-2,2014/3/21 10:08:39,300200,672,10854,高三(09)
124535,2013-2014-2,2014/5/20 08:09:05,100100,672,10854,高三(09)
114005,2013-2014-1,2014/2/24 06:42:28,300100,672,10855,高三(09)
122758,2013-2014-2,2014/4/24 06:48:04,300100,672,10855,高三(09)
118727,2013-2014-2,2014/3/26 06:41:08,300100,672,10855,高三(09)
122083,2013-2014-2,2014/4/15 06:42:27,300100,672,10855,高三(09)
119065,2013-2014-2,2014/3/27 06:40:45,300100,672,10855,高三(09)
119506,2013-2014-2,2014/3/31 06:39:48,300100,672,10855,高三(09)
119670,2013-2014-2,2014/3/31 10:08:10,300200,672,10855,高三(09)
121071,2013-2014-2,2014/4/10 06:45:07,300100,672,10855,高三(09)
121505,2013-2014-2,2014/4/11 06:44:24,300100,672,10855,高三(09)
118134,2013-2014-2,2014/3/24 06:41:36,300100,672,10855,高三(09)
117769,2013-2014-2,2014/3/21 06:42:31,300100,672,10855,高三(09)
114004,2013-2014-1,2014/2/24 06:42:10,300100,672,10855,高三(09)
118557,2013-2014-2,2014/3/25 06:44:19,300100,672,10855,高三(09)
117057,2013-2014-2,2014/3/17 10:10:25,300200,672,10856,高三(09)
117787,2013-2014-2,2014/3/21 06:43:24,300100,672,10857,高三(09)
120215,2013-2014-2,2014/4/4 06:45:27,300100,672,10857,高三(09)
121525,2013-2014-2,2014/4/11 06:48:14,300100,672,10857,高三(09)
118200,2013-2014-2,2014/3/24 06:46:34,300100,672,10857,高三(09)
111984,2013-2014-1,2014/1/2 06:45:48,300100,672,10857,高三(09)
120712,2013-2014-2,2014/4/9 06:47:45,300100,672,10857,高三(09)
112413,2013-2014-1,2014/1/3 06:50:17,300100,672,10857,高三(09)
115165,,2014/3/3 06:47:34,300100,672,10857,高三(09)
116169,,2014/3/11 06:43:26,300100,672,10857,高三(09)
122156,2013-2014-2,2014/4/15 06:50:00,300100,672,10857,高三(09)
120466,2013-2014-2,2014/4/8 10:09:30,300200,672,10857,高三(09)
119564,2013-2014-2,2014/3/31 06:44:53,300100,672,10857,高三(09)
119386,2013-2014-2,2014/3/27 06:44:46,300100,672,10857,高三(09)
118573,2013-2014-2,2014/3/25 06:45:32,300100,672,10857,高三(09)
118804,2013-2014-2,2014/3/26 06:46:19,300100,672,10857,高三(09)
114581,2013-2014-1,2014/2/27 10:13:19,300200,672,10857,高三(09)
122760,2013-2014-2,2014/4/24 06:48:16,300100,672,10857,高三(09)
114813,2013-2014-1,2014/2/28 06:45:13,300100,672,10857,高三(09)
113940,2013-2014-1,2014/2/24 06:39:35,300100,672,10857,高三(09)
114355,2013-2014-1,2014/2/27 06:46:03,300100,672,10857,高三(09)
112759,2013-2014-1,2014/1/7 06:43:03,300100,672,10857,高三(09)
121736,2013-2014-2,2014/4/14 07:37:00,100100,672,10858,高三(09)
120465,2013-2014-2,2014/4/8 10:09:32,300200,672,10858,高三(09)
119658,2013-2014-2,2014/3/31 10:07:24,300200,672,10858,高三(09)
116075,,2014/3/11 06:39:10,300100,672,10859,高三(09)
119671,2013-2014-2,2014/3/31 10:08:09,300200,672,10859,高三(09)
119507,2013-2014-2,2014/3/31 06:39:46,300100,672,10859,高三(09)
122080,2013-2014-2,2014/4/15 06:42:24,300100,672,10859,高三(09)
118728,2013-2014-2,2014/3/26 06:41:07,300100,672,10859,高三(09)
119066,2013-2014-2,2014/3/27 06:40:44,300100,672,10859,高三(09)
118558,2013-2014-2,2014/3/25 06:44:18,300100,672,10859,高三(09)
121506,2013-2014-2,2014/4/11 06:44:23,300100,672,10859,高三(09)
121070,2013-2014-2,2014/4/10 06:45:09,300100,672,10859,高三(09)
118135,2013-2014-2,2014/3/24 06:41:34,300100,672,10859,高三(09)
115278,,2014/3/3 10:11:56,300200,673,10862,高三(12)
122357,2013-2014-2,2014/4/15 10:05:39,300200,673,10863,高三(12)
114555,2013-2014-1,2014/2/27 10:12:13,300200,673,10863,高三(12)
112509,2013-2014-1,2014/1/3 10:09:38,300200,673,10863,高三(12)
117079,2013-2014-2,2014/3/17 10:12:01,300200,673,10863,高三(12)
113436,2013-2014-1,2014/1/16 10:11:26,300200,673,10863,高三(12)
117906,2013-2014-2,2014/3/21 10:08:41,300200,672,10864,高三(09)
120085,2013-2014-2,2014/4/4 10:09:37,300200,672,10864,高三(09)
122227,2013-2014-2,2014/4/15 10:09:49,300200,672,10864,高三(09)
117652,2013-2014-2,2014/3/20 07:18:19,200100,673,10865,高三(12)
117651,2013-2014-2,2014/3/20 07:18:19,200100,673,10865,高三(12)
120089,2013-2014-2,2014/4/4 10:09:27,300200,673,10865,高三(12)
120090,2013-2014-2,2014/4/4 10:09:27,300200,673,10865,高三(12)
121125,2013-2014-2,2014/4/10 08:14:15,200200,673,10867,高三(12)
118548,2013-2014-2,2014/3/25 06:43:40,300100,672,10868,高三(09)
119008,2013-2014-2,2014/3/27 06:44:06,300100,672,10868,高三(09)
120262,2013-2014-2,2014/4/4 06:40:37,300100,672,10868,高三(09)
119009,2013-2014-2,2014/3/27 06:44:06,300100,672,10868,高三(09)
118778,2013-2014-2,2014/3/26 06:43:37,300100,672,10868,高三(09)
118777,2013-2014-2,2014/3/26 06:43:37,300100,672,10868,高三(09)
122718,2013-2014-2,2014/4/24 06:43:46,300100,672,10868,高三(09)
122717,2013-2014-2,2014/4/24 06:43:46,300100,672,10868,高三(09)
116147,,2014/3/11 06:42:20,300100,672,10868,高三(09)
116146,,2014/3/11 06:42:20,300100,672,10868,高三(09)
118187,2013-2014-2,2014/3/24 06:44:45,300100,672,10868,高三(09)
118186,2013-2014-2,2014/3/24 06:44:45,300100,672,10868,高三(09)
117794,2013-2014-2,2014/3/21 06:43:42,300100,672,10868,高三(09)
117793,2013-2014-2,2014/3/21 06:43:42,300100,672,10868,高三(09)
119449,2013-2014-2,2014/3/31 06:34:18,300100,672,10868,高三(09)
118549,2013-2014-2,2014/3/25 06:43:40,300100,672,10868,高三(09)
122092,2013-2014-2,2014/4/15 06:43:07,300100,672,10868,高三(09)
119450,2013-2014-2,2014/3/31 06:34:18,300100,672,10868,高三(09)
120263,2013-2014-2,2014/4/4 06:40:37,300100,672,10868,高三(09)
121490,2013-2014-2,2014/4/11 06:43:09,300100,672,10868,高三(09)
121491,2013-2014-2,2014/4/11 06:43:09,300100,672,10868,高三(09)
120686,2013-2014-2,2014/4/9 06:45:13,300100,672,10868,高三(09)
120687,2013-2014-2,2014/4/9 06:45:13,300100,672,10868,高三(09)
122093,2013-2014-2,2014/4/15 06:43:07,300100,672,10868,高三(09)
121042,2013-2014-2,2014/4/10 06:43:38,300100,672,10868,高三(09)
121043,2013-2014-2,2014/4/10 06:43:38,300100,672,10868,高三(09)
121735,2013-2014-2,2014/4/14 07:37:00,100100,672,10869,高三(09)
125020,2013-2014-2,2014/5/27 07:17:53,200100,672,10869,高三(09)
113278,2013-2014-1,2014/1/16 07:30:02,100100,672,10870,高三(09)
114892,,2014/3/4 07:31:25,100100,672,10870,高三(09)
112892,2013-2014-1,2014/1/8 07:29:45,100100,672,10870,高三(09)
112955,2013-2014-1,2014/1/13 07:46:17,100100,672,10870,高三(09)
115685,2013-2014-2,2014/3/4 07:30:29,100100,672,10870,高三(09)
119003,2013-2014-2,2014/3/28 07:37:40,100100,673,10871,高三(12)
113541,2013-2014-1,2014/2/19 07:33:32,100100,673,10871,高三(12)
114082,2013-2014-1,2014/2/25 07:29:40,100100,673,10871,高三(12)
112875,2013-2014-1,2014/1/8 07:27:51,100100,672,10872,高三(09)
114059,2013-2014-1,2014/2/24 07:28:12,100100,672,10872,高三(09)
119939,2013-2014-2,2014/4/2 07:26:32,100100,672,10872,高三(09)
113276,2013-2014-1,2014/1/16 07:29:26,100100,672,10873,高三(09)
118222,2013-2014-2,2014/3/24 07:26:24,100100,672,10877,高三(09)
114104,2013-2014-1,2014/2/26 07:29:40,100100,672,10877,高三(09)
124279,2013-2014-2,2014/5/19 07:37:00,100100,672,10880,高三(09)
118987,2013-2014-2,2014/3/27 07:36:06,100100,672,10881,高三(09)
118236,2013-2014-2,2014/3/24 07:29:26,100100,672,10881,高三(09)
114094,2013-2014-1,2014/2/25 07:33:45,100100,672,10881,高三(09)
117650,2013-2014-2,2014/3/19 07:17:31,200100,672,10881,高三(09)
124280,2013-2014-2,2014/5/19 07:37:00,100100,672,10884,高三(09)
124543,2013-2014-2,2014/5/20 08:09:05,200200,672,10884,高三(09)
117848,2013-2014-2,2014/3/21 07:14:28,200100,672,10884,高三(09)
115875,,2014/3/10 07:26:30,100100,672,10884,高三(09)
120081,2013-2014-2,2014/4/4 10:09:42,300200,680,10885,高三(11)
122168,2013-2014-2,2014/4/15 10:05:23,300200,680,10885,高三(11)
120476,2013-2014-2,2014/4/8 10:10:06,300200,680,10885,高三(11)
122169,2013-2014-2,2014/4/15 10:05:23,300200,680,10885,高三(11)
120477,2013-2014-2,2014/4/8 10:10:06,300200,680,10885,高三(11)
120080,2013-2014-2,2014/4/4 10:09:42,300200,680,10885,高三(11)
120190,2013-2014-2,2014/4/4 10:03:40,300200,680,10886,高三(11)
